City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Toronto,Hero Certified Burgers (100 Mearns Avenue),2024-11-10T20:19:19.000Z,2024-11-10T20:48:06.000Z,completed,Signature Cheeseburger,2,"Sesame Poppy Seed, 4oz",0.0,"",25.9,18.68,CAD
Toronto,Hero Certified Burgers (100 Mearns Avenue),2024-10-29T13:22:24.000Z,2024-10-29T13:46:20.000Z,completed,Bottled Beverage,1,Coca-Cola® 500mL Bottle,3.0,"",0.0,24.4,CAD
Toronto,Hero Certified Burgers (100 Mearns Avenue),2024-10-29T13:22:24.000Z,2024-10-29T13:46:20.000Z,completed,Signature Cheeseburger,1,Sesame Poppy Seed,0.0,"",10.95,24.4,CAD
Toronto,Hero Certified Burgers (100 Mearns Avenue),2024-10-29T13:22:24.000Z,2024-10-29T13:46:20.000Z,completed,Signature Cheeseburger,1,6oz,2.0,"",10.95,24.4,CAD
Toronto,Hero Certified Burgers (100 Mearns Avenue),2024-10-29T13:22:24.000Z,2024-10-29T13:46:20.000Z,completed,Sweet Potato Fries,1,"",,"",5.75,24.4,CAD
Toronto,A-One Delights Buffet,2024-10-26T11:47:02.000Z,2024-10-26T12:06:59.000Z,completed,Make Your Own Combination,1,"Beef with Broccoli p t, Steamed Fried Rice, General Tao Chicken p t",0.0,"",18.0,24.28,CAD
Toronto,Booster Juice (2366 Regional Highway 2),2024-10-17T19:21:01.000Z,2024-10-17T19:46:42.000Z,completed,Bananas-A-Whey (Regular Size),1,Power Booster,0.0,"",10.14,13.26,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2024-10-17T19:17:30.000Z,2024-10-17T19:46:43.000Z,completed,Cinnamon Pull Aparts,1,Cinnamon Pull Aparts,0.0,"",9.79,32.41,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2024-10-17T19:17:30.000Z,2024-10-17T19:46:43.000Z,completed,Create Your Own Pizza,2,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Normal Bake, Normal Cut, Sausage",0.0,"",25.28,32.41,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2024-10-17T19:17:30.000Z,2024-10-17T19:46:43.000Z,completed,Special Garlic Sauce,1,Garlic Dipping Sauce,0.0,"",1.59,32.41,CAD
Toronto,Eddies Restaurant & Bar,2024-10-09T18:14:41.000Z,2024-10-09T18:59:29.000Z,completed,Butchers Block,2,Regular,0.0,"",31.98,24.76,CAD
Toronto,Eddies Restaurant & Bar,2024-10-09T18:14:41.000Z,2024-10-09T18:59:29.000Z,completed,Coca-Cola 500ml,1,"",,"",3.25,24.76,CAD
Toronto,"Fresh Burrito- 1393 Harmony Rd, Oshawa",2024-10-06T22:42:44.000Z,2024-10-06T23:20:29.000Z,completed,Burrito,2,"Salsa Verde (Med Heat and Tangy), Sour Cream (Mild), Shredded Cheese, Burrito Sauce (Medium Spicy), Regular (On 12-inch Tortilla), Fresh Jalapenos, White Tortilla, Pinto Beans, Red Onions, Ground beef, Lettuce, Tomatoes, Mexican Rice",0.0,"",33.98,29.93,CAD
Toronto,"Fresh Burrito- 1393 Harmony Rd, Oshawa",2024-10-06T22:42:44.000Z,2024-10-06T23:20:29.000Z,completed,Jarrito Mexican Flavor Drinks Glass Bottles (370ml),1,Mexican cola,0.0,"",4.19,29.93,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2024-10-06T00:34:55.000Z,2024-10-06T00:58:52.000Z,completed,Create Your Own Pizza,1,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Bake, Normal Cut",0.0,"",12.64,17.66,CAD
Toronto,A-One Delights Buffet,2024-10-04T18:43:44.000Z,2024-10-04T19:06:12.000Z,completed,Make Your Own Combination,1,"Lemon chicken, General Tao Chicken, Steamed Fried Rice",0.0,"",16.2,21.69,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2024-09-28T18:35:22.000Z,2024-09-28T18:56:34.000Z,completed,Create Your Own Pizza,2,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Cut, Normal Bake",0.0,"",25.28,18.26,CAD
Toronto,Vietnamese Pho,2024-09-21T15:56:18.000Z,2024-09-21T16:36:17.000Z,completed,P2. Rare Beef,1,XL,2.0,"",15.6,24.4,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2024-09-17T16:41:32.000Z,2024-09-17T17:08:04.000Z,completed,Create Your Own Pizza,2,"10 Inch Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Bake, Normal Cut",0.0,"",25.28,18.26,CAD
Toronto,"Fresh Burrito- 1635 Durham Regional Hwy 2, Courtice",2024-09-06T23:50:13.000Z,2024-09-07T00:31:19.000Z,completed,Burrito,2,"Salsa Verde (Med Heat and Tangy), Burrito Sauce (Medium Spicy), Shredded Cheese, Regular (On 12-inch Tortilla), Sour Cream (Mild), White Tortilla, Pinto Beans, Red Onions, Ground beef, Lettuce, Tomatoes, Mexican Rice, Pickled Jalapenos",0.0,"",33.98,24.72,CAD
Toronto,A-One Delights Buffet,2024-07-22T17:05:39.000Z,2024-07-22T17:25:51.000Z,completed,Make Your Own Combination,1,"General Tao Chicken, Steamed Fried Rice, Beef with Broccoli",0.0,"",16.2,21.69,CAD
Toronto,A-One Delights Buffet,2024-07-11T18:59:12.000Z,2024-07-11T19:14:32.000Z,completed,Make Your Own Combination,1,"General Tao Chicken, Steamed Fried Rice, Beef with Broccoli",0.0,"",16.2,21.69,CAD
Toronto,The Ice Cream Shop (LONGWORTH AVENUE),2024-07-06T01:55:23.000Z,2024-07-06T02:35:56.000Z,completed,Ben & Jerry's Chocolate Chip Cookie Dough 473mL,1,"",,"",9.99,0.0,CAD
Toronto,A&W (2475 Energy Drive),2024-07-06T01:52:06.000Z,2024-07-06T02:35:56.000Z,completed,Teen Burger®,2,"",,"",16.98,14.15,CAD
Toronto,Pita Pit (855 Taunton Rd. East Unit 3),2024-07-03T20:45:34.000Z,2024-07-03T21:23:02.000Z,completed,Regular Pita,2,Chicken Souvlaki,1.7,"",21.58,23.37,CAD
Toronto,Pita Pit (855 Taunton Rd. East Unit 3),2024-07-03T20:45:34.000Z,2024-07-03T21:23:02.000Z,completed,Regular Pita,2,"Feta, Roasted Red Peppers, Spinach, Tzatziki, Grilled Green Peppers, Iceberg Lettuce, Jalapeños, Tomatoes, Grilled Onions, Roasted Garlic Aioli, Salt, Avocado, Greek Seasoning, Onions, Pepper, Toasted",0.0,"",21.58,23.37,CAD
Toronto,A-One Delights Buffet,2024-05-28T17:19:06.000Z,2024-05-28T17:36:19.000Z,completed,Make Your Own Combination,1,"General Tao Chicken, Chicken Fried Rice, Black Pepper Steak",0.0,"",16.2,21.69,CAD
Toronto,Loaded Pierogi (Bowmanville),2024-05-15T12:48:13.000Z,2024-05-15T13:20:12.000Z,completed,Garlic Parm Chicken,2,Crispy fried Pierogies with a side of sour cream,0.0,"",39.88,0.0,CAD
Toronto,Firehouse Subs (Bowmanville),2024-05-14T15:36:10.000Z,2024-05-14T16:07:45.000Z,completed,"Hook & Ladder® , Medium (7-8 inch)--",2,"Ham, Onion, Side Pickle ""May not be available"", Lettuce (May not be available), Tomato, Turkey, Monterey Jack, White Bread, Deli Mustard, Mayo",0.0,"",28.6,20.51,CAD
Toronto,BarBurrito (Courtice),2024-04-26T22:42:33.000Z,2024-04-26T23:25:42.000Z,completed,Bottled Pop,1,Coke bottle,0.0,"",3.95,24.91,CAD
Toronto,BarBurrito (Courtice),2024-04-26T22:42:33.000Z,2024-04-26T23:25:42.000Z,completed,Burrito Special,2,Regular White,2.0,"",21.38,24.91,CAD
